ns,T,re,R,numerical_DHS,opt_DHS,num_iterations,num_func_evals
3,0.5,6,8,2.3494539647117563e-11,5.546678239835239e-32,48,1071,0
3,0.5,2,8,2.1947553774381845e-09,2.465190328815662e-32,53,1197,0
3,0.5,6,8,9.609835149859691e-11,1.5407439555097887e-33,32,798,0
3,0.5,2,8,1.4062300835782082e-05,2.465190328815662e-32,24,588,0
3,0.5,2,8,6.626582282898141e-09,0.0,16,378,0
3,0.5,4,8,5.872791142280676e-11,1.5407439555097887e-31,46,1008,0
3,0.5,4,8,2.2888546613586414e-10,2.465190328815662e-32,57,1428,0
3,0.5,2,8,1.8104547860886555e-08,1.5407439555097887e-33,32,756,0
3,0.5,4,8,1.4036993789545704e-11,2.465190328815662e-32,43,1008,0
3,0.5,2,8,2.2812664646210123e-08,5.546678239835239e-32,27,672,0
3,0.5,2,8,3.3712723723766658e-09,0.0,27,672,0
3,0.5,4,8,1.3820566913125276e-10,0.0,37,819,0
3,0.5,6,8,4.9851456296323704e-11,9.860761315262648e-32,25,609,0
3,0.5,2,8,2.2337535052763258e-06,0.0,23,504,0
3,0.5,6,8,2.7053648210539905e-10,1.5407439555097887e-33,50,1197,0
3,0.5,4,8,2.5948798665353934e-11,6.162975822039155e-33,60,1554,0
3,0.5,2,8,5.386513457494857e-11,0.0,43,1008,0
3,0.5,2,8,1.7382460478776451e-06,6.162975822039155e-33,26,588,0
3,0.5,6,8,3.077211818691694e-10,1.3866695599588098e-32,37,819,0
3,0.5,4,8,9.310330284506563e-13,3.944304526105059e-31,38,882,0
3,0.5,4,8,1.214750522393615e-11,1.3866695599588098e-32,30,672,0
3,0.5,2,8,1.4948176030316063e-10,0.0,46,1113,0
3,0.5,4,8,1.339994781801579e-11,6.162975822039155e-33,38,924,0
3,0.5,2,8,4.409352565781788e-05,0.0,19,462,0
3,0.5,2,8,3.85310583439491e-09,3.8518598887744717e-32,61,1407,0